01.11.2019 16:24:48: 38h 0min | Josh Bernstein(76561198071574538) | DayTime
01.11.2019 16:24:54: 38h 0min | Josh Bernstein(76561198071574538) | spawning AH-9 Pawnee (B_Heli_Light_01_dynamicLoadout_F)
01.11.2019 16:26:21: 38h 2min | Josh Bernstein(76561198071574538) | Revive - civ_2(76561198071574538)
01.11.2019 16:26:28: 38h 2min | Josh Bernstein(76561198071574538) | Deleting B_Heli_Light_01_dynamicLoadout_F @090214..
01.11.2019 16:26:39: 38h 2min | Josh Bernstein(76561198071574538) | spawning Arrow (Large, Red) (Sign_Arrow_Large_F)
01.11.2019 16:27:00: 38h 2min | Josh Bernstein(76561198071574538) | spawning To-201 Shikra (Cluster) (O_Plane_Fighter_02_Cluster_F)
01.11.2019 16:27:23: 38h 3min | Josh Bernstein(76561198071574538) | HealRepairNear
01.11.2019 16:27:48: 38h 3min | Josh Bernstein(76561198071574538) | Revive - civ_2(76561198071574538)
01.11.2019 16:27:56: 38h 3min | Josh Bernstein(76561198071574538) | Teleport to [8563.83,24997.1,0](GPS: 085249)
01.11.2019 16:28:27: 38h 4min | Josh Bernstein(76561198071574538) | spawning Y-32 Xi'an (Infantry Transport) (O_T_VTOL_02_infantry_dynamicLoadout_F)
01.11.2019 16:33:19: 38h 9min | Josh Bernstein(76561198071574538) | Revive - civ_2(76561198071574538)
01.11.2019 18:52:05: 40h 27min | Josh Bernstein(76561198071574538) | 750K Cash
01.11.2019 18:52:41: 40h 28min | Josh Bernstein(76561198071574538) | God Mode - 1
01.11.2019 18:53:52: 40h 29min | Josh Bernstein(76561198071574538) | locked - [C_SUV_01_F]
01.11.2019 18:53:53: 40h 29min | Josh Bernstein(76561198071574538) | unlocked - [C_SUV_01_F]
01.11.2019 18:53:55: 40h 29min | Josh Bernstein(76561198071574538) | HealRepairNear
01.11.2019 18:53:59: 40h 29min | Josh Bernstein(76561198071574538) | HealRepairNear
01.11.2019 18:54:36: 40h 30min | Josh Bernstein(76561198071574538) | HealRepairNear
01.11.2019 18:55:03: 40h 30min | Josh Bernstein(76561198071574538) | AdminConsole
01.11.2019 18:56:55: 40h 32min | Josh Bernstein(76561198071574538) | Teleport In Facing Direction (10m steps) - 1
01.11.2019 19:01:30: 40h 37min | Josh Bernstein(76561198071574538) | Deleting C_SUV_01_F @037130..
01.11.2019 20:07:19: 0h 6min | Josh Bernstein(76561198071574538) | Teleport to [19366,9658.46,0](GPS: 193096)
01.11.2019 21:54:01: 1h 53min | Jackson(76561198192442694) | DayTime
01.11.2019 21:54:15: 1h 53min | Jackson(76561198192442694) | Teleport to [11205.5,8713.61,0](GPS: 112087)
01.11.2019 21:54:32: 1h 53min | Jackson(76561198192442694) | Teleport to [21589,21265.8,0](GPS: 215212)
01.11.2019 21:54:51: 1h 53min | Jackson(76561198192442694) | Teleport to [23494.2,18710.2,0](GPS: 234187)
01.11.2019 21:55:08: 1h 54min | Jackson(76561198192442694) | Teleport to [26842.1,12805.5,0](GPS: 268128)
01.11.2019 21:55:14: 1h 54min | Jackson(76561198192442694) | Teleport to [6993.29,15934.7,0](GPS: 069159)
01.11.2019 21:55:41: 1h 54min | Jackson(76561198192442694) | Teleport to [9188.92,21667.3,0](GPS: 091216)
01.11.2019 21:58:01: 1h 57min | Jackson(76561198192442694) | Self Disconnect
01.11.2019 22:03:42: 2h 2min | Jackson(76561198192442694) | Teleport to [19380.4,9649.25,0](GPS: 193096)
01.11.2019 22:04:31: 2h 3min | Jackson(76561198192442694) | Teleport to [3624.88,13102.1,0](GPS: 036131)
01.11.2019 22:26:57: 0h 3min | Jackson(76561198192442694) | Teleport to [19378.5,9647.18,0](GPS: 193096)
01.11.2019 22:57:15: 0h 2min | Jackson(76561198192442694) | Teleport to [3675.6,13142.9,0](GPS: 036131)
01.11.2019 23:06:52: 0h 5min | Jackson(76561198192442694) | Self Disconnect
