27.10.2019 04:16:05: 0h 2min | Josh Bernstein(76561198071574538) | spawning AH-9 Pawnee (B_Heli_Light_01_dynamicLoadout_F)
27.10.2019 04:16:37: 0h 3min | Josh Bernstein(76561198071574538) | Revive - civ_2(76561198071574538)
27.10.2019 04:17:59: 0h 4min | Josh Bernstein(76561198071574538) | 10.000K Cash
27.10.2019 04:18:13: 0h 4min | Josh Bernstein(76561198071574538) | God Mode - 1
27.10.2019 04:18:52: 0h 5min | Josh Bernstein(76561198071574538) | Teleport to [4555.46,15427.1,0](GPS: 045154)
27.10.2019 04:19:09: 0h 5min | Josh Bernstein(76561198071574538) | 5.000K Cash
27.10.2019 04:20:58: 0h 7min | Josh Bernstein(76561198071574538) | Teleport In Facing Direction (10m steps) - 1
27.10.2019 04:54:10: 0h 15min | Josh Bernstein(76561198071574538) | Teleport to [3742.95,13267,0](GPS: 037132)
27.10.2019 04:54:17: 0h 15min | Josh Bernstein(76561198071574538) | Teleport to [3637.28,13077.1,0](GPS: 036130)
27.10.2019 04:54:33: 0h 15min | Josh Bernstein(76561198071574538) | 50K Cash
27.10.2019 04:54:42: 0h 15min | Josh Bernstein(76561198071574538) | Teleport to [3663.98,13108,0](GPS: 036131)
27.10.2019 04:55:17: 0h 16min | Josh Bernstein(76561198071574538) | God Mode - 1
27.10.2019 04:55:17: 0h 16min | Josh Bernstein(76561198071574538) | Vehicle God Mode - 1
27.10.2019 05:02:39: 0h 23min | Josh Bernstein(76561198071574538) | Teleport In Facing Direction (10m steps) - 1
27.10.2019 05:04:17: 0h 25min | Josh Bernstein(76561198071574538) | Teleport to [3744.61,13274,0](GPS: 037132)
27.10.2019 05:04:41: 0h 25min | Josh Bernstein(76561198071574538) | Teleport to [3765.15,12370,0](GPS: 037123)
27.10.2019 05:04:47: 0h 25min | Josh Bernstein(76561198071574538) | Teleport to [3636.1,13087.8,0](GPS: 036130)
27.10.2019 05:05:01: 0h 26min | Josh Bernstein(76561198071574538) | 100K Cash
27.10.2019 05:05:03: 0h 26min | Josh Bernstein(76561198071574538) | 1.150K Cash
27.10.2019 05:05:07: 0h 26min | Josh Bernstein(76561198071574538) | Teleport to [3769.69,12366.4,0](GPS: 037123)
27.10.2019 05:05:37: 0h 26min | Josh Bernstein(76561198071574538) | Teleport to [3751.08,13280.2,0](GPS: 037132)
27.10.2019 22:00:36: 0h 8min | Josh Bernstein(76561198071574538) | Revive - civ_3(76561198071574538)
27.10.2019 22:00:55: 0h 9min | Josh Bernstein(76561198071574538) | God Mode - 1
27.10.2019 22:01:01: 0h 9min | Josh Bernstein(76561198071574538) | Teleport to [3644.92,13109.8,0](GPS: 036131)
27.10.2019 22:01:23: 0h 9min | Josh Bernstein(76561198071574538) | spawning A-143 Buzzard (AA) (I_Plane_Fighter_03_AA_F)
27.10.2019 22:02:30: 0h 10min | Josh Bernstein(76561198071574538) | Delete Vehicle - civ_3(76561198071574538)
27.10.2019 22:02:32: 0h 10min | Josh Bernstein(76561198071574538) | Deleting Josh Bernstein(76561198071574538) vehicle: I_Plane_Fighter_03_AA_F @027130..
27.10.2019 22:02:32: 0h 10min | Josh Bernstein(76561198071574538) | Delete Vehicle - civ_3(76561198071574538)
27.10.2019 22:02:40: 0h 10min | Josh Bernstein(76561198071574538) | Teleport to [3621.69,13135.7,0](GPS: 036131)
27.10.2019 22:15:20: 0h 23min | Josh Bernstein(76561198071574538) | God Mode - 1
27.10.2019 22:15:26: 0h 23min | Josh Bernstein(76561198071574538) | Teleport to [3910.7,13541.1,0](GPS: 039135)
27.10.2019 22:15:35: 0h 23min | Josh Bernstein(76561198071574538) | God Mode - 0
27.10.2019 22:16:44: 0h 24min | Josh Bernstein(76561198071574538) | Teleport to [3652.7,13108.8,0](GPS: 036131)
27.10.2019 22:26:12: 0h 1min | Josh Bernstein(76561198071574538) | Teleport to [3648.64,13102.8,0](GPS: 036131)
27.10.2019 22:26:34: 0h 2min | Josh Bernstein(76561198071574538) | God Mode - 1
27.10.2019 22:52:48: 0h 28min | Jackson(76561198192442694) | HealRepairNear
27.10.2019 22:53:06: 0h 28min | Jackson(76561198192442694) | SPECTATE - switchedCamera on Josh Bernstein(76561198071574538) - C_man_1
27.10.2019 22:53:08: 0h 28min | Jackson(76561198192442694) | SPECTATE - switchedCamera on Jackson(76561198192442694) - C_man_1
27.10.2019 22:53:10: 0h 28min | Jackson(76561198192442694) | Teleport - Me To Target - Josh Bernstein [CIV](76561198071574538)
27.10.2019 22:54:51: 0h 30min | Josh Bernstein(76561198071574538) | spawning SUV (C_SUV_01_F)
27.10.2019 22:56:09: 0h 31min | Josh Bernstein(76561198071574538) | infiSTAR Player ESP 1 - 1
27.10.2019 22:56:24: 0h 32min | Josh Bernstein(76561198071574538) | infiSTAR Player ESP 2 - 1
27.10.2019 22:56:24: 0h 32min | Jackson(76561198192442694) | Teleport - Me To Target - Josh Bernstein [WEST](76561198071574538)
27.10.2019 22:58:11: 0h 33min | Jackson(76561198192442694) | Self Disconnect
