28.10.2019 00:24:54: 0h 3min | Jackson(76561198192442694) | Teleport to [3460.19,12937,0](GPS: 034129)
28.10.2019 00:25:20: 0h 4min | Jackson(76561198192442694) | 1.150K Cash
28.10.2019 00:27:20: 0h 6min | Jackson(76561198192442694) | Self Disconnect
28.10.2019 00:30:00: 0h 8min | Jackson(76561198192442694) | Teleport - Me To Target - Josh Bernstein [CIV](76561198071574538)
28.10.2019 00:30:05: 0h 9min | Jackson(76561198192442694) | Revive - civ_2(76561198071574538)
28.10.2019 00:30:09: 0h 9min | Jackson(76561198192442694) | Revive - civ_2(76561198071574538)
28.10.2019 00:30:12: 0h 9min | Josh Bernstein(76561198071574538) | God Mode - 1
28.10.2019 00:30:12: 0h 9min | Jackson(76561198192442694) | Teleport - Me To Target - Josh Bernstein [CIV](76561198071574538)
28.10.2019 00:30:24: 0h 9min | Jackson(76561198192442694) | Restrain - civ_2(76561198071574538)
28.10.2019 00:31:15: 0h 10min | Josh Bernstein(76561198071574538) | Restrain - cop_3(76561198192442694)
28.10.2019 00:31:17: 0h 10min | Jackson(76561198192442694) | Teleport to [3248.65,12956.4,0](GPS: 032129)
28.10.2019 00:31:22: 0h 10min | Jackson(76561198192442694) | Unrestrain - cop_3(76561198192442694)
28.10.2019 00:31:25: 0h 10min | Josh Bernstein(76561198071574538) | Unrestrain - cop_3(76561198192442694)
28.10.2019 00:31:43: 0h 10min | Josh Bernstein(76561198071574538) | 50K Cash
28.10.2019 00:31:55: 0h 10min | Josh Bernstein(76561198071574538) | Teleport In Facing Direction (10m steps) - 1
28.10.2019 00:33:30: 0h 12min | Josh Bernstein(76561198071574538) | 1.150K Bank
28.10.2019 00:34:26: 0h 13min | Josh Bernstein(76561198071574538) | 1.150K Cash
28.10.2019 00:46:22: 0h 8min | Jackson(76561198192442694) | NightTime
28.10.2019 00:46:28: 0h 8min | Jackson(76561198192442694) | Call EMP
28.10.2019 02:17:25: 1h 39min | Jackson(76561198192442694) | HealRepairNear
28.10.2019 02:17:29: 1h 39min | Jackson(76561198192442694) | Self Disconnect
28.10.2019 03:23:49: 0h 2min | Jackson(76561198192442694) | Teleport to [23675.6,18976.3,0](GPS: 236189)
28.10.2019 03:24:04: 0h 2min | Josh Bernstein(76561198071574538) | Teleport to [23691.6,18970.8,0](GPS: 236189)
28.10.2019 03:24:29: 0h 2min | Jackson(76561198192442694) | Added 1 boltcutters to Jackson!
28.10.2019 03:24:58: 0h 3min | Josh Bernstein(76561198071574538) | Added 1 boltcutters to Josh Bernstein!
28.10.2019 03:25:27: 0h 3min | Josh Bernstein(76561198071574538) | Revive - civ_3(76561198192442694)
28.10.2019 03:25:27: 0h 3min | Jackson(76561198192442694) | Revive - civ_3(76561198192442694)
28.10.2019 03:25:40: 0h 3min | Jackson(76561198192442694) | HealRepairNear
28.10.2019 03:25:44: 0h 4min | Jackson(76561198192442694) | Teleport In Facing Direction (10m steps) - 1
28.10.2019 03:26:14: 0h 4min | Jackson(76561198192442694) | Added 1 blastingcharges to Jackson!
28.10.2019 03:26:16: 0h 4min | Josh Bernstein(76561198071574538) | HealSelf
28.10.2019 03:26:17: 0h 4min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 03:26:25: 0h 4min | Jackson(76561198192442694) | Self Disconnect
28.10.2019 03:26:48: 0h 5min | Jackson(76561198192442694) | Teleport to [23683.5,18975.9,0](GPS: 236189)
28.10.2019 03:27:11: 0h 5min | Jackson(76561198192442694) | Teleport to [15994.6,16926.2,0](GPS: 159169)
28.10.2019 03:28:01: 0h 6min | Jackson(76561198192442694) | HealRepairNear
28.10.2019 03:28:35: 0h 6min | Jackson(76561198192442694) | Self Disconnect
28.10.2019 03:43:57: 0h 3min | Jackson(76561198192442694) | Self Disconnect
28.10.2019 03:44:46: 0h 4min | Josh Bernstein(76561198071574538) | Teleport to [23571.7,18804.4,0](GPS: 235188)
28.10.2019 03:44:58: 0h 4min | Josh Bernstein(76561198071574538) | God Mode - 1
28.10.2019 03:44:59: 0h 4min | Josh Bernstein(76561198071574538) | Teleport In Facing Direction (10m steps) - 1
28.10.2019 03:45:28: 0h 5min | Jackson(76561198192442694) | Teleport to [23706.6,18987.4,0](GPS: 237189)
28.10.2019 03:45:50: 0h 5min | Jackson(76561198192442694) | Added 1 boltcutters to Jackson!
28.10.2019 03:45:52: 0h 5min | Jackson(76561198192442694) | Added 1 blastingcharges to Jackson!
28.10.2019 03:46:30: 0h 6min | Josh Bernstein(76561198071574538) | Teleport - Target To Me - Jackson [CIV](76561198192442694)
28.10.2019 03:53:51: 0h 13min | Josh Bernstein(76561198071574538) | Teleport to [16043.3,16934.4,0](GPS: 160169)
28.10.2019 03:54:13: 0h 14min | Josh Bernstein(76561198071574538) | Teleport to [23686.1,18856,0](GPS: 236188)
28.10.2019 03:55:24: 0h 15min | Jackson(76561198192442694) | Killing Josh Bernstein(76561198071574538) @237190
28.10.2019 03:55:24: 0h 15min | Jackson(76561198192442694) | Kill - cop_9(76561198071574538)
28.10.2019 03:55:34: 0h 15min | Jackson(76561198192442694) | Revive - cop_9(76561198071574538)
