31.10.2019 02:29:35: 0h 5min | Josh Bernstein(76561198071574538) | AdminConsole
31.10.2019 02:35:37: 0h 11min | Josh Bernstein(76561198071574538) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_dynamicLoadout_F)
31.10.2019 02:37:17: 0h 13min | Josh Bernstein(76561198071574538) | Revive - civ_3(76561198071574538)
31.10.2019 02:37:23: 0h 13min | Josh Bernstein(76561198071574538) | Teleport to [9190.51,21664.8,0](GPS: 091216)
31.10.2019 02:37:45: 0h 13min | Josh Bernstein(76561198071574538) | spawning M-900 (C_Heli_Light_01_civil_F)
31.10.2019 02:37:47: 0h 13min | Josh Bernstein(76561198071574538) | spawning AH-9 Pawnee (B_Heli_Light_01_armed_F)
31.10.2019 02:38:51: 0h 14min | Josh Bernstein(76561198071574538) | Revive - civ_3(76561198071574538)
31.10.2019 02:39:01: 0h 14min | Josh Bernstein(76561198071574538) | spawning MH-9 Hummingbird (B_Heli_Light_01_F)
31.10.2019 04:19:14: 1h 55min | Josh Bernstein(76561198071574538) | DayTime
31.10.2019 04:19:23: 1h 55min | Josh Bernstein(76561198071574538) | AdminConsole
31.10.2019 04:20:00: 1h 55min | Josh Bernstein(76561198071574538) | spawning A-149 Gryphon (I_Plane_Fighter_04_F)
31.10.2019 04:23:12: 1h 59min | Josh Bernstein(76561198071574538) | HealRepairNear
31.10.2019 04:25:51: 2h 1min | Josh Bernstein(76561198071574538) | Revive - civ_2(76561198071574538)
31.10.2019 04:26:07: 2h 1min | Josh Bernstein(76561198071574538) | AdminConsole
31.10.2019 04:26:26: 2h 2min | Josh Bernstein(76561198071574538) | God Mode - 1
31.10.2019 04:26:37: 2h 2min | Josh Bernstein(76561198071574538) | spawning To-201 Shikra (Stealth) (O_Plane_Fighter_02_Stealth_F)
31.10.2019 04:26:41: 2h 2min | Josh Bernstein(76561198071574538) | HealRepairNear
31.10.2019 04:26:41: 2h 2min | Josh Bernstein(76561198071574538) | HealRepairNear
31.10.2019 04:26:45: 2h 2min | Josh Bernstein(76561198071574538) | HealRepairNear
31.10.2019 04:26:46: 2h 2min | Josh Bernstein(76561198071574538) | locked - [O_Plane_Fighter_02_Stealth_F]
31.10.2019 04:26:47: 2h 2min | Josh Bernstein(76561198071574538) | unlocked - [O_Plane_Fighter_02_Stealth_F]
31.10.2019 04:28:49: 2h 4min | Josh Bernstein(76561198071574538) | Delete Vehicle - civ_2(76561198071574538)
31.10.2019 04:28:50: 2h 4min | Josh Bernstein(76561198071574538) | Deleting Josh Bernstein(76561198071574538) vehicle: O_Plane_Fighter_02_Stealth_F @091216..
31.10.2019 04:28:50: 2h 4min | Josh Bernstein(76561198071574538) | Delete Vehicle - civ_2(76561198071574538)
31.10.2019 17:49:18: 15h 25min | Josh Bernstein(76561198071574538) | Teleport to [3642.64,13122.7,0](GPS: 036131)
31.10.2019 20:16:09: 17h 51min | Josh Bernstein(76561198071574538) | God Mode - 1
31.10.2019 20:16:33: 17h 52min | Josh Bernstein(76561198071574538) | 250K Cash
31.10.2019 20:23:29: 17h 59min | Josh Bernstein(76561198071574538) | AdminConsole
31.10.2019 20:25:43: 18h 1min | Josh Bernstein(76561198071574538) | spawning MH-9 Hummingbird (B_Heli_Light_01_F)
31.10.2019 20:27:09: 18h 2min | Josh Bernstein(76561198071574538) | spawning MH-9 Hummingbird (B_Heli_Light_01_F)
31.10.2019 20:29:00: 18h 4min | Josh Bernstein(76561198071574538) | Deleting B_Heli_Light_01_F @031118..
31.10.2019 20:29:59: 18h 5min | Josh Bernstein(76561198071574538) | spawning To-201 Shikra (O_Plane_Fighter_02_F)
31.10.2019 20:30:03: 18h 5min | Josh Bernstein(76561198071574538) | locked - [O_Plane_Fighter_02_F]
31.10.2019 20:30:06: 18h 5min | Josh Bernstein(76561198071574538) | unlocked - [O_Plane_Fighter_02_F]
31.10.2019 20:30:28: 18h 6min | Josh Bernstein(76561198071574538) | HealRepairNear
31.10.2019 20:30:31: 18h 6min | Josh Bernstein(76561198071574538) | HealRepairNear
31.10.2019 20:30:55: 18h 6min | Josh Bernstein(76561198071574538) | Delete Vehicle - cop_9(76561198071574538)
31.10.2019 20:31:00: 18h 6min | Josh Bernstein(76561198071574538) | Deleting Josh Bernstein(76561198071574538) vehicle: O_Plane_Fighter_02_F @038123..
31.10.2019 20:31:00: 18h 6min | Josh Bernstein(76561198071574538) | Delete Vehicle - cop_9(76561198071574538)
31.10.2019 20:32:05: 18h 7min | Josh Bernstein(76561198071574538) | spawning To-201 Shikra (Cluster) (O_Plane_Fighter_02_Cluster_F)
31.10.2019 20:32:09: 18h 7min | Josh Bernstein(76561198071574538) | locked - [O_Plane_Fighter_02_Cluster_F]
31.10.2019 20:32:10: 18h 7min | Josh Bernstein(76561198071574538) | unlocked - [O_Plane_Fighter_02_Cluster_F]
31.10.2019 20:32:27: 18h 8min | Josh Bernstein(76561198071574538) | Vehicle God Mode - 1
31.10.2019 20:32:44: 18h 8min | Josh Bernstein(76561198071574538) | UnlimAmmo - 1
31.10.2019 20:32:44: 18h 8min | Josh Bernstein(76561198071574538) | noRecoil - 1
31.10.2019 20:32:45: 18h 8min | Josh Bernstein(76561198071574538) | FastFire - 1
